
####################################
48: 11.356272459030151s : x = 302.8974596215561 , y = 178.3449007382985
49: 11.595418453216553s : x = 303.4409532935182 , y = 178.25647949862451
50: 11.851930618286133s : x = 303.71281504475513 , y = 178.21298044447192
51: 12.084171533584595s : x = 303.4409532935182 , y = 178.25647949862451
52: 12.312178611755371s : x = 303.71281504475513 , y = 178.21298044447192
53: 12.554912328720093s : x = 302.8974596215561 , y = 178.3449007382985
54: 12.782731771469116s : x = 303.7634850253406 , y = 178.8449007382985
55: 13.012697458267212s : x = 303.4468962878052 , y = 178.10791554929415
56: 13.237096071243286s : x = 303.7190173228654 , y = 178.0644270938938
57: 13.47219967842102s : x = 303.49272610534257 , y = 178.88831039422723
58: 13.704207420349121s : x = 304.034319297053 , y = 178.8019637117098
59: 13.921541690826416s : x = 303.7634850253406 , y = 178.8449007382985
60: 14.143075942993164s : x = 303.7634850253406 , y = 178.8449007382985
61: 14.38013243675232s : x = 304.629510429125 , y = 179.3449007382985
62: 14.601635456085205s : x = 304.629510429125 , y = 179.3449007382985
63: 14.869588136672974s : x = 304.629510429125 , y = 179.3449007382985
64: 15.088536500930786s : x = 304.85811059403204 , y = 178.5199013850455

####################################
1: 0.23374676704406738s : x = 302.63149187761854 , y = 178.08072509300754
2: 0.4716341495513916s : x = 302.8904479965653 , y = 177.67933327232967
3: 0.7374687194824219s : x = 303.17213362606174 , y = 177.81901785126357
4: 0.9643983840942383s : x = 303.17213362606174 , y = 177.81901785126357
5: 1.2153427600860596s : x = 303.17213362606174 , y = 177.81901785126357
6: 1.4488229751586914s : x = 302.359400944314 , y = 178.1261116125928
7: 1.6856679916381836s : x = 302.63149187761854 , y = 178.08072509300754
8: 1.911423921585083s : x = 302.63149187761854 , y = 178.08072509300754
9: 2.146840810775757s : x = 302.9645358035133 , y = 178.65219644851769
10: 2.3868391513824463s : x = 302.9645358035133 , y = 178.65219644851769
11: 2.621589183807373s : x = 303.2357076243579 , y = 178.60786528669453
12: 2.845888376235962s : x = 302.63149187761854 , y = 178.08072509300754
13: 3.0733718872070312s : x = 302.63149187761854 , y = 178.08072509300754
14: 3.3008880615234375s : x = 302.63149187761854 , y = 178.08072509300754
15: 3.5357069969177246s : x = 302.63149187761854 , y = 178.08072509300754
16: 3.7586119174957275s : x = 302.63149187761854 , y = 178.08072509300754
17: 3.9811689853668213s : x = 302.63149187761854 , y = 178.08072509300754
18: 4.246331691741943s : x = 302.903661610885 , y = 178.0358135305739
19: 4.475440263748169s : x = 302.903661610885 , y = 178.0358135305739
20: 4.703096389770508s : x = 303.2357076243579 , y = 178.60786528669453
21: 4.93258261680603s : x = 303.2357076243579 , y = 178.60786528669453
22: 5.165300130844116s : x = 302.9645358035133 , y = 178.65219644851769
23: 5.4074225425720215s : x = 302.9645358035133 , y = 178.65219644851769
24: 5.640886068344116s : x = 303.4482341607615 , y = 177.9474158229478
25: 5.870270013809204s : x = 302.63149187761854 , y = 178.08072509300754
26: 6.09926700592041s : x = 303.2357076243579 , y = 178.60786528669453
27: 6.338124513626099s : x = 303.2357076243579 , y = 178.60786528669453
28: 6.574337482452393s : x = 302.625829356407 , y = 178.38982265447342
29: 6.800778865814209s : x = 302.8974596215561 , y = 178.3449007382985
30: 7.032761573791504s : x = 303.4409532935182 , y = 178.25647949862451
31: 7.261775732040405s : x = 302.8974596215561 , y = 178.3449007382985
32: 7.494913578033447s : x = 302.8512518694964 , y = 177.56745313286626
33: 7.763170003890991s : x = 303.4468962878052 , y = 178.10791554929415
34: 7.9883527755737305s : x = 302.57826477336704 , y = 177.61245688086174
35: 8.230054140090942s : x = 303.1748515688437 , y = 178.15187887901922
36: 8.466320991516113s : x = 302.90288399467636 , y = 178.1963169491491
37: 8.703720331192017s : x = 302.8512518694964 , y = 177.56745313286626
38: 8.929391145706177s : x = 302.57826477336704 , y = 177.61245688086174
39: 9.19715666770935s : x = 302.57826477336704 , y = 177.61245688086174
40: 9.435291528701782s : x = 302.625829356407 , y = 178.38982265447342
41: 9.760504007339478s : x = 302.57826477336704 , y = 177.61245688086174
42: 10.138965129852295s : x = 302.8512518694964 , y = 177.56745313286626
43: 10.437896251678467s : x = 302.8974596215561 , y = 178.3449007382985
44: 10.679693698883057s : x = 302.8512518694964 , y = 177.56745313286626
45: 10.939598083496094s : x = 303.4468962878052 , y = 178.10791554929415
46: 11.30772852897644s : x = 302.8512518694964 , y = 177.56745313286626
47: 11.680846929550171s : x = 303.4468962878052 , y = 178.10791554929415
48: 11.952467679977417s : x = 302.8974596215561 , y = 178.3449007382985
49: 12.212982654571533s : x = 303.4409532935182 , y = 178.25647949862451
50: 12.460405111312866s : x = 303.71281504475513 , y = 178.21298044447192
51: 12.74647307395935s : x = 303.4409532935182 , y = 178.25647949862451
52: 13.005156993865967s : x = 303.71281504475513 , y = 178.21298044447192
53: 13.318101406097412s : x = 302.8974596215561 , y = 178.3449007382985
54: 13.636988878250122s : x = 303.7634850253406 , y = 178.8449007382985
55: 13.92373251914978s : x = 303.4468962878052 , y = 178.10791554929415
56: 14.189794063568115s : x = 303.7190173228654 , y = 178.0644270938938
57: 14.516431331634521s : x = 303.49272610534257 , y = 178.88831039422723
58: 14.905916452407837s : x = 304.034319297053 , y = 178.8019637117098
59: 15.311656951904297s : x = 303.7634850253406 , y = 178.8449007382985
60: 15.772992849349976s : x = 303.7634850253406 , y = 178.8449007382985
61: 16.064295291900635s : x = 304.629510429125 , y = 179.3449007382985
62: 16.37731170654297s : x = 304.629510429125 , y = 179.3449007382985
63: 16.652610301971436s : x = 304.629510429125 , y = 179.3449007382985
64: 16.931700468063354s : x = 304.85811059403204 , y = 178.5199013850455
